Table,Column,Data Type,Required,Description,Constraints,Examples
Entity,entity_id,UUID,Yes,"Universally Unique Identifier (UUID) for the entity. This is a 128-bit identifier that is unique across the entire system, ensuring no two entities can have the same ID.",Primary Key,"123e4567-e89b-12d3-a456-426614174000"
Entity,entity_type,string,Yes,"Specifies the classification of the entity in the system. Must be either 'institution' or 'subsidiary'. This field determines how the entity is treated in the system and what additional information is required. Institutions are top-level entities, while subsidiaries are owned by institutions.",Must be either 'institution' or 'subsidiary',"'institution' (for a bank), 'subsidiary' (for a bank's trading division)"
Entity,parent_entity_id,UUID,No,"For subsidiaries, this references the UUID of the parent institution. Must be NULL for institutions. This field establishes the ownership hierarchy in the system. Used for consolidated risk assessment and reporting.",Foreign Key to Entity.entity_id. Must be NULL for institutions.,"123e4567-e89b-12d3-a456-426614174000 (for a subsidiary), NULL (for an institution)"
Entity,created_at,datetime,Yes,"Timestamp marking when the entity was first created in the system. Used for audit trails and tracking entity lifecycle. Includes both date and time components with timezone information.",System-generated timestamp,"2024-01-15T14:30:00Z"
Entity,updated_at,datetime,Yes,"Timestamp of the most recent update to any entity information. Automatically updated whenever any field in the entity record changes. Used for audit trails and data freshness assessment.",System-generated timestamp,"2024-12-20T09:15:30Z"
Entity,deleted_at,datetime,No,"Timestamp when the entity was marked as deleted (soft deletion). NULL indicates an active entity. When set, the entity is considered inactive but its data is preserved for historical and audit purposes.",NULL for active entities,"2024-11-30T16:45:00Z, NULL (for active entities)"

Institution,institution_id,string,Yes,"Primary identifier for the institution. While UUIDs are used internally, this may be a more human-readable identifier used in business contexts. Must be unique across all institutions.",Primary Key,"INS-001, BNK-2024-001"
Institution,legal_name,string,Yes,"Official registered name of the institution as it appears on legal documents. This should match incorporation documents and regulatory filings. Used in all official communications and documentation.",Must match legal registration,"Goldman Sachs Group Inc., HSBC Holdings plc"
Institution,business_type,enum,Yes,"Classification of the institution's primary business model. This affects regulatory requirements, risk assessment, and compliance procedures. Valid types:
- hedge_fund: Investment funds using complex strategies
- bank: Traditional banking institutions
- broker_dealer: Securities trading firms
- insurance: Insurance providers
- asset_manager: Investment management firms
- pension_fund: Retirement fund managers
- other: Other financial institutions",Must be one of the defined BusinessType enum values,"'bank' (for traditional banks), 'hedge_fund' (for investment funds)"
Institution,incorporation_country,string,Yes,"Country where the institution is legally registered and incorporated. Used for jurisdictional compliance and risk assessment. Should use standardized country codes or names.",ISO country codes recommended,"USA, GBR, SGP"
Institution,incorporation_date,string,Yes,"Date when the institution was legally incorporated or registered. Used to determine operational history and regulatory requirements. Must be a valid date in YYYY-MM-DD format.",Must be before onboarding_date,"1995-03-15"
Institution,onboarding_date,string,Yes,"Date when the institution was onboarded as a client or partner. Marks the beginning of the business relationship. Must be after incorporation date. Used for relationship duration tracking and periodic reviews.",Must be after incorporation_date,"2024-01-10"
Institution,risk_rating,enum,Yes,"Overall risk assessment rating of the institution. Determines monitoring intensity and compliance requirements. Levels:
- low: Minimal risk, standard monitoring
- medium: Moderate risk, enhanced monitoring
- high: Significant risk, intensive monitoring",Must be one of: low, medium, high,"'low' (for well-regulated banks), 'high' (for institutions in high-risk jurisdictions)"
Institution,operational_status,enum,Yes,"Current operational state of the institution. Affects monitoring requirements and risk assessment. States:
- active: Fully operational
- dormant: Temporarily inactive
- liquidating: In process of closing",Must be one of: active, dormant, liquidating,"'active' (for normal operations), 'liquidating' (for closing institutions)"
Institution,primary_currency,string,No,"Main currency used in operations. Important for transaction monitoring and risk assessment. Should use standard currency codes.",ISO currency codes recommended,"USD, EUR, GBP"
Institution,regulatory_status,string,No,"Current standing with regulatory authorities. Indicates compliance status and any special regulatory conditions or restrictions.",,"'Fully Compliant', 'Under Review'"
Institution,primary_business_activity,string,No,"Detailed description of main business operations and focus areas. Used for understanding business model and associated risks.",,"'Commercial Banking', 'Investment Management'"
Institution,primary_regulator,string,No,"Main regulatory body overseeing the institution. Important for compliance reporting and regulatory communications.",,"'SEC', 'FCA', 'MAS'"
Institution,licenses,array[string],No,"List of all operational licenses held by the institution. Each entry should include license type and issuing authority. Critical for compliance and operational authorization tracking.",Array of license identifiers,"['US-BD-12345', 'UK-FCA-789']"
Institution,aml_program_status,string,No,"Current state of the institution's Anti-Money Laundering program. Indicates compliance with AML requirements and any remediation needs.",,"'Compliant', 'Under Enhancement'"
Institution,kyc_refresh_date,string,No,"Date of most recent Know Your Customer information update. Used for compliance tracking and scheduling reviews.",YYYY-MM-DD format,"2024-06-15"
Institution,last_audit_date,string,No,"Date of most recent regulatory or compliance audit. Used for audit scheduling and compliance tracking.",YYYY-MM-DD format,"2023-12-01"
Institution,next_audit_date,string,No,"Scheduled date for next audit. Used for audit planning and resource allocation.",YYYY-MM-DD format,"2024-12-01"
Institution,relationship_manager,string,No,"Name of assigned relationship manager. Primary point of contact for institutional relationship.",,"'John Smith', 'Sarah Johnson'"
Institution,relationship_status,string,No,"Current state of business relationship. Indicates any special handling or attention needed.",,"'Active', 'Under Review'"
Institution,swift_code,string,No,"SWIFT/BIC code for international transfers. Must follow SWIFT format standards.",11 or 8 character SWIFT format,"CHASUS33, BARCGB22"
Institution,lei_code,string,No,"Legal Entity Identifier code. Global standard for financial entity identification.",20-character LEI format,"549300GX4FPMFF91RJ37"
Institution,tax_id,string,No,"Tax identification number in jurisdiction of incorporation. Format varies by country.",Country-specific format,"12-3456789 (US EIN)"
Institution,website,string,No,"Official website URL. Used for verification and communication purposes.",Valid URL format,"https://www.bankname.com"
Institution,primary_contact_name,string,No,"Name of primary business contact person. Main point of contact for operational matters.",,"'Jane Doe'"
Institution,primary_contact_email,string,No,"Email address for primary contact. Used for official communications.",Valid email format,"jane.doe@bankname.com"
Institution,primary_contact_phone,string,No,"Phone number for primary contact. Including country code.",International format,"+1-212-555-0123"
Institution,annual_revenue,float,No,"Annual revenue in base currency. Used for business size assessment and risk categorization.",Positive number,"1500000000.00"
Institution,employee_count,integer,No,"Total number of employees. Indicator of institutional size and complexity.",Positive integer,"5000"
Institution,year_established,integer,No,"Year when institution first began operations. May differ from incorporation date.",Valid year,"1995"
Institution,customer_status,string,No,"Current status as a customer. Indicates relationship stage and any special conditions.",,"'Active', 'Onboarding'"
Institution,last_review_date,string,No,"Date of last relationship review. Used for periodic review scheduling.",YYYY-MM-DD format,"2024-01-15"
Institution,industry_codes,array[string],No,"Standard industry classification codes. Used for sector analysis and risk assessment.",Array of standard codes,"['SIC-6021', 'NAICS-522110']"
Institution,public_company,boolean,Yes,"Indicates if company is publicly traded. Affects reporting requirements and risk assessment.",Default: false,"true, false"
Institution,stock_symbol,string,No,"Stock market trading symbol. Required if publicly traded.",,"'GS', 'HSBC'"
Institution,stock_exchange,string,No,"Primary stock exchange where shares are traded.",,"'NYSE', 'LSE'"

Transaction,transaction_id,string,Yes,"Unique identifier for the transaction. Used for tracking and referencing individual transactions throughout their lifecycle.",Primary Key,"TXN-2024-001"
Transaction,transaction_type,enum,Yes,"Classification of transaction method. Each type has specific processing and monitoring requirements:
- ach: Automated Clearing House transfers
- wire: Wire transfers (typically international)
- check: Check payments
- lockbox: Automated payment processing service",Must be one of: ach, wire, check, lockbox,"'wire' (for international transfers), 'ach' (for domestic transfers)"
Transaction,transaction_date,string,Yes,"Date and time when transaction was initiated. Used for temporal analysis and reporting.",YYYY-MM-DD format,"2024-01-15"
Transaction,amount,float,Yes,"Monetary value of the transaction in the specified currency. Used for threshold monitoring and risk assessment.",Must be positive,"50000.00"
Transaction,currency,string,Yes,"Currency of the transaction amount. Must use standard currency codes for consistency.",ISO currency code,"USD, EUR"
Transaction,transaction_status,enum,Yes,"Current state of the transaction in its lifecycle:
- completed: Successfully processed
- pending: In progress
- failed: Processing failed
- reversed: Transaction reversed",Must be one of: completed, pending, failed, reversed,"'completed' (successful), 'pending' (in process)"
Transaction,is_debit,boolean,Yes,"Indicates if transaction is a debit (true) or credit (false) from the perspective of the primary account.",Boolean,"true (for outgoing), false (for incoming)"
Transaction,account_id,string,Yes,"Reference to the primary account involved in the transaction.",Foreign Key to Account.account_id,"ACC-001"
Transaction,entity_id,string,Yes,"Reference to the entity owning the primary account.",Foreign Key to Entity.entity_id,"ENT-001"
Transaction,entity_type,string,Yes,"Type of entity owning the primary account. Must match the entity's classification.",Must match entity_type,"'institution', 'subsidiary'"
Transaction,debit_account_id,string,Yes,"Account from which money is being withdrawn.",Foreign Key to Account.account_id,"ACC-001"
Transaction,credit_account_id,string,Yes,"Account receiving the money.",Foreign Key to Account.account_id,"ACC-002"
Transaction,counterparty_account,string,No,"Account number of the external counterparty. Used for counterparty tracking and risk assessment.",,"87654321"
Transaction,counterparty_name,string,No,"Name of the counterparty. Important for sanctions screening and monitoring.",,"'Acme Corporation'"
Transaction,counterparty_bank,string,No,"Name of the counterparty's bank. Used for bank relationship monitoring.",,"'Chase Bank'"
Transaction,counterparty_entity_name,string,No,"Legal entity name of the counterparty if different from counterparty_name.",,"'Acme Holdings Ltd'"
Transaction,originating_country,string,No,"Country where transaction originated. Used for geographic risk assessment.",ISO country code,"USA"
Transaction,destination_country,string,No,"Country where transaction is destined. Used for geographic risk assessment.",ISO country code,"GBR"
Transaction,purpose,string,No,"Stated purpose of the transaction. Used for transaction monitoring and risk assessment.",,"'Invoice Payment', 'Investment'"
Transaction,reference_number,string,No,"External reference number for transaction. Used for reconciliation and tracking.",,"'INV-2024-001'"
Transaction,screening_alert,boolean,Yes,"Indicates if transaction triggered any compliance screening alerts.",Default: false,"true, false"
